model,scenario,year,per_capita_payout,public_ownership_q,market_gdp_ratio,payout_yield,crossing_year_10000,crossing_year_35000,dcf_markdown
simple_no_income_shift,baseline,1,302.343419,0.004389542,1.943303125,0.024121301,,,
simple_no_income_shift,baseline,25,2540.472408,0.101749465,1.943303125,0.024121301,,,
simple_no_income_shift,baseline,50,5407.243826,0.119348716,1.943303125,0.024121301,,,
simple_no_income_shift,moderate AI,1,310.336947,0.004453103,1.943303125,0.024121301,38.342104,,
simple_no_income_shift,moderate AI,25,4872.637902,0.131955959,1.943303125,0.024121301,38.342104,,
simple_no_income_shift,moderate AI,50,15064.871275,0.159532766,1.943303125,0.024121301,38.342104,,
simple_no_income_shift,strong AI,1,316.098855,0.004492169,1.943303125,0.024121301,29.177806,,
simple_no_income_shift,strong AI,25,7253.968074,0.149537812,1.943303125,0.024121301,29.177806,,
simple_no_income_shift,strong AI,50,29111.646417,0.182539421,1.943303125,0.024121301,29.177806,,
simple_fixed_market_gdp,baseline,1,302.343419,0.004389542,1.943303125,0.025376138,,,
simple_fixed_market_gdp,baseline,25,2917.386889,0.113258935,1.943303125,0.042479096,,,
simple_fixed_market_gdp,baseline,50,6630.346391,0.136661022,1.943303125,0.047738692,,,
simple_fixed_market_gdp,moderate AI,1,310.336947,0.004453103,1.943303125,0.026630975,31.569716,,
simple_fixed_market_gdp,moderate AI,25,6235.568362,0.161467788,1.943303125,0.060836891,31.569716,,
simple_fixed_market_gdp,moderate AI,50,21345.276678,0.205693554,1.943303125,0.071356084,31.569716,,
simple_fixed_market_gdp,strong AI,1,316.098855,0.004492169,1.943303125,0.027258394,25.246465,44.653265,
simple_fixed_market_gdp,strong AI,25,9754.715783,0.191290611,1.943303125,0.070015788,25.246465,44.653265,
simple_fixed_market_gdp,strong AI,50,44107.516389,0.248899940,1.943303125,0.083164779,25.246465,44.653265,
simple_fixed_payout_yield,baseline,1,318.071913,0.004389542,2.044397538,0.024121301,46.843497,,
simple_fixed_payout_yield,baseline,25,4473.928276,0.101749465,3.422276413,0.024121301,46.843497,,
simple_fixed_payout_yield,baseline,50,10701.526732,0.119348716,3.846009355,0.024121301,46.843497,,
simple_fixed_payout_yield,moderate AI,1,342.625611,0.004453103,2.145491950,0.024121301,22.699696,43.440194,
simple_fixed_payout_yield,moderate AI,25,12289.392611,0.131955959,4.901249702,0.024121301,22.699696,43.440194,
simple_fixed_payout_yield,moderate AI,50,44565.183462,0.159532766,5.748715585,0.024121301,22.699696,43.440194,
simple_fixed_payout_yield,strong AI,1,357.209049,0.004492169,2.196039156,0.024121301,18.361963,30.980096,
simple_fixed_payout_yield,strong AI,25,21055.758539,0.149537812,5.640736346,0.024121301,18.361963,30.980096,
simple_fixed_payout_yield,strong AI,50,100370.358313,0.182539421,6.700068700,0.024121301,18.361963,30.980096,
payout_dcf,baseline,1,240.181557,0.004389542,,,,,0.276560511
payout_dcf,baseline,25,2775.838372,0.117629209,,,,,0.276560511
payout_dcf,baseline,50,6499.116391,0.142096178,,,,,0.276560511
payout_dcf,moderate AI,1,333.827328,0.004453103,,,29.485587,,0.406897761
payout_dcf,moderate AI,25,7166.276588,0.150854871,,,29.485587,,0.406897761
payout_dcf,moderate AI,50,24353.569525,0.188614931,,,29.485587,,0.406897761
payout_dcf,strong AI,1,382.735779,0.004492169,,,23.267787,41.128823,0.476377659
payout_dcf,strong AI,25,11853.303823,0.171200114,,,23.267787,41.128823,0.476377659
payout_dcf,strong AI,50,52208.760925,0.216726204,,,23.267787,41.128823,0.476377659
